x_pos,y_pos,x_comp,y_comp,x1,y1,x2,y2,x3,y3,R(amp),
0,0,-1.37,9.633333333,-1.27,9.76,-1.91,9.65,-0.93,9.49,9.730262643,03/30/26
5.5,0,1.033333333,7.556666667,1.08,7.63,1.08,7.57,0.94,7.47,7.626990815,
11,0,10.21666667,1.33,10.33,-3.53,10.23,3.57,10.09,3.95,10.30287231,
16.5,0,10.31666667,-4.353333333,10.35,-4.36,10.29,-4.39,10.31,-4.31,11.19754983,
22,0,1.946666667,-4.963333333,1.85,-4.94,1.96,-4.96,2.03,-4.99,5.331434037,
-5.5,0,-0.396666667,7.636666667,-0.34,8.27,-0.36,7.1,-0.49,7.54,7.646961633,
-11,0,8.373333333,3.966666667,8.32,3.74,8.4,4,8.4,4.16,9.265374011,
-16.5,0,12.37666667,0.413333333,12.5,0.47,12.4,0.36,12.23,0.41,12.38356662,
-22,0,7.023333333,-4.666666667,7.08,-4.63,7.01,-4.69,6.98,-4.68,8.432377416,
0,5.5,12.46666667,13.89666667,12.53,13.9,12.51,13.88,12.36,13.91,18.66909538,
0,11,16.56666667,6.79,16.7,6.79,16.55,6.78,16.45,6.8,17.90414881,
0,16.5,15.38666667,-8.76,15.26,-8.8,15.4,-8.79,15.5,-8.69,17.70556723,
0,22,0.473333333,-1.246666667,0.65,-1.27,0.48,-1.26,0.29,-1.21,1.33349999,
0,-5.5,1.016666667,7.56,1.29,7.61,0.98,7.54,0.78,7.53,7.628054215,
0,-11,16.72666667,6.276666667,16.76,6.29,16.75,6.29,16.67,6.25,17.86555127,
0,-16.5,9.53,2.163333333,9.41,2.15,9.52,2.21,9.66,2.13,9.772456759,
0,-22,15.84,-12.48666667,15.72,-12.54,15.8,-12.48,16,-12.44,20.16983997,
5.5,-22,14.99333333,-11.55333333,14.95,-11.55,14.98,-11.57,15.05,-11.54,18.92827397,
11,-22,6.083333333,-9.54,5.93,-9.66,6.09,-9.49,6.23,-9.47,11.31452803,
16.5,-22,3.31,-0.27,2.96,-0.49,3.21,-0.28,3.76,-0.04,3.320993827,
22,-22,7.183333333,6.363333333,7.15,6.31,7.28,6.4,7.12,6.38,9.596472732,
-5.5,-22,17.45333333,-8.506666667,17.56,-8.49,17.48,-8.53,17.32,-8.5,19.41603003,
-11,-22,11.74,2.736666667,11.78,8.26,11.74,-8.11,11.7,8.06,12.0547478,
-16.5,-22,3.876666667,-6.47,3.78,-6.46,3.89,-6.48,3.96,-6.47,7.542509161,
-22,-22,5.99,1.37,6.03,1.38,5.96,1.38,5.98,1.35,6.144672489,
5.5,-16.5,10.64,-0.883333333,10.64,-0.71,10.63,-0.95,10.65,-0.99,10.67660423,
11,-16.5,9.13,-6.2,9.24,-6,9.11,-6.17,9.04,-6.43,11.03616328,
16.5,-16.5,-0.53,-5.473333333,-0.35,-5.3,-0.66,-5.64,-0.58,-5.48,5.49893424,
22,-16.5,-1.563333333,9.306666667,-1.48,9.53,-1.58,9.34,-1.63,9.05,9.437057569,
-5.5,-16.5,9.196666667,-0.88,9.06,-1.14,9.2,-0.84,9.33,-0.66,9.238672945,
-11,-16.5,9.9,-5.186666667,10.3,-5.36,10.35,-5.36,9.05,-4.84,11.17638184,
-16.5,-16.5,4.696666667,-6.296666667,4.75,-6.16,4.78,-6.29,4.56,-6.44,7.855360519,
-22,-16.5,-5.073333333,-0.26,-5.08,-0.39,-5.08,-0.23,-5.06,-0.16,5.079991251,
5.5,-11,17.96,1.256666667,17.88,1.19,17.95,1.29,18.05,1.29,18.00391099,
11,-11,21.64666667,-2.353333333,21.52,-2.45,21.66,-2.25,21.76,-2.36,21.77421309,
16.5,-11,12.64,-11.98,12.63,-12.13,12.69,-11.99,12.6,-11.82,17.41522323,
22,-11,1.216666667,-7.196666667,1.29,-7.46,1.2,-7.11,1.16,-7.02,7.298786809,
-5.5,-11,15.70333333,8.293333333,15.83,8.3,15.68,8.33,15.6,8.25,17.75877404,
-11,-11,18.5,1.893333333,18.58,1.86,18.5,1.94,18.42,1.88,18.59663171,
-16.5,-11,21.00333333,-6.686666667,21,-6.49,21,-6.9,21.01,-6.67,22.04203988,
-22,-11,5.543333333,-13.23666667,5.6,-13.32,5.46,-13.33,5.57,-13.06,14.35053619,
5.5,-5.5,2.033333333,8.343333333,2.16,8.4,2.13,8.38,1.81,8.25,8.587529072,
11,-5.5,9.68,6.736666667,9.76,6.72,9.65,6.8,9.63,6.69,11.79343367,
16.5,-5.5,9.026666667,-2.813333333,9.14,-2.88,8.96,-2.85,8.98,-2.71,9.454922292,
22,-5.5,-0.223333333,-0.26,-0.29,-0.38,-0.16,-0.22,-0.22,-0.18,0.342750314,
-5.5,-5.5,2.57,9.173333333,2.71,9.18,2.65,9.2,2.35,9.14,9.526538954,
-11,-5.5,11.06,8.13,10.88,8.35,11.19,8.09,11.11,7.95,13.72663469,
-16.5,-5.5,13.78333333,1.313333333,13.88,1.05,13.78,1.23,13.69,1.66,13.84576189,
-22,-5.5,4.13,-5.6,4.1,-5.44,4.15,-5.62,4.14,-5.74,6.958225348,
5.5,5.5,13.09,12.17333333,13.43,12.18,13.51,12.23,12.33,12.11,17.8756299,
11,5.5,15.43333333,6.56,15.31,6.56,15.43,6.58,15.56,6.54,16.76965646,
16.5,5.5,14.34333333,-1.796666667,14.17,-1.72,14.31,-1.87,14.55,-1.8,14.4554219,
22,5.5,7.646666667,-2.996666667,7.5,-2.79,7.71,-2.99,7.73,-3.21,8.212887569,
-5.5,5.5,14.35,11.72333333,14.48,11.72,14.36,11.85,14.21,11.6,18.52994993,
-11,5.5,15.46666667,7.133333333,15.27,7.37,15.47,7.13,15.66,6.9,17.03238745,
-16.5,5.5,18.47333333,-0.27,18.52,-0.37,18.48,-0.26,18.42,-0.18,18.47530634,
-22,5.5,11.59666667,-6.95,11.68,-6.92,11.6,-6.96,11.51,-6.97,13.51980687,
5.5,11,12.68666667,4.51,12.83,4.64,12.58,4.48,12.65,4.41,13.46445733,
11,11,15.61333333,-2.56,15.78,-2.33,15.66,-2.43,15.4,-2.92,15.82181335,
16.5,11,6.773333333,-4.833333333,6.84,-4.91,6.74,-4.83,6.74,-4.76,8.321006884,
22,11,2.756666667,4.13,2.73,4.05,2.76,4.16,2.78,4.18,4.965492031,
-5.5,11,17.19333333,1.603333333,17.2,1.59,17.2,1.63,17.18,1.59,17.26792949,
-11,11,14.19666667,-2.463333333,14.22,-2.19,14.24,-2.71,14.13,-2.49,14.40879438,
-16.5,11,13.67666667,-3.793333333,13.75,-3.84,13.62,-3.78,13.66,-3.76,14.19297675,
-22,11,3.813333333,-2.93,3.79,-3,3.8,-2.96,3.85,-2.83,4.808992734,
5.5,16.5,11.18333333,-10.77666667,11.16,-10.71,11.11,-10.81,11.28,-10.81,15.53072725,
11,16.5,7.463333333,-8.09,7.76,-8.09,7.24,-8.05,7.39,-8.13,11.00679083,
16.5,16.5,3.943333333,-1.08,4.04,-0.91,3.91,-1.12,3.88,-1.21,4.088554485,
22,16.5,7.96,4.4,7.99,4.19,7.8,4.53,8.09,4.48,9.09514156,
-5.5,16.5,16.69,-7.333333333,17.02,-7.44,16.6,-7.33,16.45,-7.23,18.23002682,
-11,16.5,16.52666667,-7.553333333,16.62,-7.26,16.5,-7.59,16.46,-7.81,18.17095362,
-16.5,16.5,8.05,-6.266666667,8.01,-6.12,8.05,-6.24,8.09,-6.44,10.20164747,
-22,16.5,1.426666667,0.436666667,1.24,0.18,1.39,0.34,1.65,0.79,1.49199717,
5.5,22,-0.61,2.206666667,-0.65,2.28,-0.62,2.15,-0.56,2.19,2.289427391,
11,22,-0.09,5.786666667,-0.01,6.14,-0.17,5.53,-0.09,5.69,5.787366509,
16.5,22,6.003333333,10.19666667,6.13,10.11,6.02,10.24,5.86,10.24,11.83266759,
22,22,16.52333333,9.576666667,16.37,9.39,16.6,9.66,16.6,9.68,19.09798651,
-5.5,22,2.33,-3.09,2.29,-3.07,2.31,-3.04,2.39,-3.16,3.87001292,
-11,22,2.81,-0.273333333,2.99,-0.2,2.86,-0.28,2.58,-0.34,2.823262494,
-16.5,22,3.083333333,3.75,3.18,3.74,3.08,3.77,2.99,3.74,4.854837221,
-22,22,8.976666667,11.93,9.06,12.13,9.03,11.94,8.84,11.72,14.93001823,
